feature,active_auc_abs,family_mi,stable_signal,leakage_adjusted_score,is_foldseek
foldseek_TM_HIV1,0.7394179894179893,0.732718445512418,0.7123015873015872,0.5324717478762684,True
t70_raw,0.5978835978835979,0.5591482461291717,0.6334325396825398,0.51301315402746,False
t65_raw,0.611111111111111,0.5569954795580618,0.6019841269841271,0.48979307287113627,False
qg_motif_found,0.5119047619047619,0.45566148027291664,0.5529761904761905,0.46718246122388396,False
foldseek_TM_Group2Intron,0.6415343915343916,0.7395120587516417,0.6775793650793651,0.44371251678282964,True
sp_motif_found,0.5634920634920635,0.626509879406473,0.5736111111111111,0.3854747333022881,False
foldseek_TM_Retron,0.5026455026455026,0.6988654769031946,0.6571428571428571,0.38431650078821256,True
best_turn_len,0.5218253968253969,0.7476264401299431,0.6720238095238095,0.37221667783905066,False
sp_s_is_helix,0.5158730158730158,0.7780904916423137,0.6267857142857143,0.3011543534904869,False
sp_p_is_helix,0.5158730158730158,0.7780904916423137,0.6267857142857143,0.3011543534904869,False
